movie,sentence,score
프렌치 디스패치,2차 관람이 더 재미있던 영화... 1차는 우선 줄거리만 집중하고 2차는 대사나 디테일을 보면 정말 풍성함 ,10
공정사회,평점에 낚였습니다. ,1
적호서생,오랜만에 보는 중국판타지 잼나네요 ,8
그린 마일,"사형제도에 대해 다시한번 생각하게 되었던 좋은 영화였고, 난 기독교는 아니지만 커피를 보며 예수가 생각나긴 함. 의도한 건지...? ",8
샹치와 텐 링즈의 전설,아이언맨과 작별한 건 마블 최대의 실수인듯 이 때까지가 전성기였고 앞으로 내리막 길 불보듯 뻔하다 ,1
강릉,칼질만하다 끝났드래요?언년아... ,1
이터널스,마블치고 지루.. ,6
이터널스,너무 지루하고 지루하고 또 지루함.동석이형때문에 의리로 끝까지 봤다. ,2
바람이 분다,와...평점테러 봐라. 뭐든 정치색으로만 보는 미친민족 ,10
이스케이프 룸,재미있어요ㆍ<큐브>와 <오징어게임>을 잇는 탈출장르 ,9
성룡의 폴리스 스토리4,이 영화를 시작으로 성룡 영화의 거품이 조금씩 드러나기 시작하지. 성룡 영화는 80년대나 통하지 이젠 손발이 오그라든다. ,1
장르만 로맨스,좋았어요류승용.김희원 예상대로 너무 재밌고 아들로 나온 배우님 그 또래 감성을 너무 잘 연기하셨음 ,9
프렌치 디스패치,웨스 앤더슨 특유의 감성과 연출뿐만아니라 배우 한명 한명의 캐릭터와 대사가 빛나는 영화. 사운드 트랙 또한 너무 좋아서 무한 반복 중이에요.다만 대사량이 많아 자막으로만 온전히 영화를 따라가려면 여러번 봐야할 것 같아요. ,9
프렌치 디스패치,ennui sur blase boredom on apathy  전형적인 텍사스 출신 프랭코필 스타일의 영화 ,8
라이징 호크,평점에 속아서 봤다....시간은 금이라고 친구! ,2
장르만 로맨스,정말정말정말 재미없었어요...아무리 시계를 봐도 끝날 시간이 안옴... ,1
비정시대,반공영화 같지만 남북 분단국의 비극을 보여주는 작품. 초등때 우연히 TV에서 접했는데 잊혀지지 않았습니다. 신부님이 자신의 아들인지도모르고 진지하게 고백성사하는 아버지. 아버지인지도 모르고 환하게 웃으며 친절하게 대해주는 아들 신부님. 이런 기구한 인연이... ,6
괴짜들의 로맨스,"전형적인 대만 로맨틱코미디가 아니어서 더 좋았던 영화입니다. 사랑의 조건, 감정의 변화에 대한 깊이 있는 생각과 탐구가 담겨 있습니다. 독특한 화면비와 색상의 영상미도 뛰어납니다. ",8
걸캅스,"이건 판타지 영화입니다. 반지의 제왕, 해리포터 시리즈를 잇는 판타지 장르임. ",1
호빗 : 뜻밖의 여정,오랜만에 다시 보니까 좋네요 ,10
걸캅스,현실은 인천'지방'경찰청 논현경찰서 서창지구대 살인 방조사건. 같은 경찰들도 여경제도 없애야 한다고 한다ㅉㅉㅉ ,1
프렌치 디스패치,그렇습니다 ,7
신과함께-인과 연,전편보다는 매력있게 봄 ,7
무수단,사실 음... 뻔한 스토리에 개연성마저 뭉그러진 연출 ,6
호빗: 다섯 군대 전투,다시 봐도 좋은 시리즈의 시작 ,10
싱크홀,"내 인생 최악의 영화. 킬링타임용으로도 못보는 최악의 영화.별점 1 준 것도 처음. (솔직히 1도 아까움)근데 평점 올리기 위해선 추천 감상포인트를 골라야 되네?연출, 연기, 스토리, 영상미, OST 어느 하나 괜찮은게 없는데어쩔 수 없이 연기 고릅니다. ",1
말레피센트,안젤리나 졸리 섭외 잘한듯 ,10
장르만 로맨스,전처 본처 자식  양성애자등 감독이 타인의 고통을 희화화  하는데 그마저도 웃기지 않음..극장이 내내 조용..바람핀 주인공은 베스트셀러 작가 게다가 교수.. 전혀 불쌍하지 않아요..ㆍ 편견덩어리로 보임..그나마 배우들 연기가 좋은데 연출이 치밀하지 않아 보는 중간 중간 매우 지루함..어려운 시대를 사는데 공감할 인물이 없고 답답하고..피해자 처럼 그려진 마쵸적주인공을 전혀 이해할 수 없음.. ,1
브로크백 마운틴,사람대 사람으로 저리 절절히 사랑할수있다는게 아름다웠고.배우들연기 실감나며 연출 영상 너무 좋았습니다. 자꾸 보고싶어져요.특히 둘이 첫날밤이 너무 잘 표현되었어요. 히스레저 제이크 사랑합니다 ,10
뱅드림! 필름 라이브 세컨드 스테이지,필라1에 비해서 퀄 엄청 좋아짐 모션도 자연스럽고... 레이야 보컬 개시원 ,10
이터널스,역시 중국 감독이네ㅋㅋ ,1
장르만 로맨스,재밌다는 평점이 더 많아 어머니모시고 봤는데요무슨 얘기인지 너무 스토리가 뒤죽박죽이여서보는내내 힘들었습니다중간중간 웃음 포인트는 있었지만 류승룡님아니였으면 안봤을거 같아요 ,4
나이브스 아웃,와! 정말 가 족같은 사이들 ,10
강릉,아...48평생 댓글 첨 써봄 이렇게 재미없게 만들기도 힘들겠다칼로 쑤시다가 끝. ,1
걸캅스,여기서 날라차기 팔 꺽어서 제압하는건 판타지 망상이였음현실은 무장해도 후다닥~ ,1
장르만 로맨스,신선하고 기발하고 웃기고 ,10
아이언맨,"인생 최고의 영화중 하나 샹치,베놈2 아이언맨에 비교할수없음 ",10
후겟츠 웨슬리,TV용 영화라서 그런지 뭔가 전체적으로 밋밋하다. ,6
기적,윤아 말투가 아는분과 똑같네요...ㅋㅋ스토리도 잔잔하게 좋네요.. ,10
장르만 로맨스,평점이 갈려서 큰 기대없이 봤는데 생각보다 재밌고 괜찮게 봤네요 나름 보고 생각할만한 요소들도 있고 ,9
해리 포터와 마법사의 돌,진짜...재미있습니다ㅠ...예전 부터 이편 돌려보고 있는 중 입니다ㅠㅠ ,10
장르만 로맨스,"도대체 무슨 내용인지,...집중력 떨어지는... ",2
장르만 로맨스,"이게 왜 15세 관람가 인지 의문스러움. 청소년들이 보기에 옆에서 지도가 필요하다고 생각할 정도로 관계의 막장of 막장임. 극중 나오는 대사처럼 청소년들에게 유해한 영화인것 같음. 아침드라마를 영화로 압축시킨듯한 스토리, 묵직하고 어려운 주제를 코미디로 가볍게 다가가기 쉽게 풀어낸것은 좋았으나 뭘 이야기하려고 했는지 잘 모르겠음. 배우들 하나하나는 기억에 다 남을 정도로 연기가 인상적이였음 ",6
언덕길의 아폴론,재미있게봄 신선한 주제믿고보는 고마츠나나 작품 ,9
샹치와 텐 링즈의 전설,강건너 뮤탈 나올때부터 엥? ,5
장르만 로맨스,포장지 보고 속은느낌기대치라도 없었으면 평점 테러라도 안하지장르만 로맨스가 아니라장르만 코미디 ,1
듄,Dreams are messages from the deep. ,9
걸캅스,이게 왜 9점인지 이해가;; ,1
프렌치 디스패치,"하이 코미디의 연속. 색채의 대비. 뮤지컬,영화,카툰에 까지 아우를수있는.지루할 틈없는 작품 ",10
싱크홀,90년대 감성 배우들은 찍으면서 자괴감 안들었을까싶더라는.. ,4
이터널스,지루해서 중간에 잠들뻔 그닥이다 ,4
장르만 로맨스,하...한숨만 나오네요ㅠㅠㅠ ,1
보이스,재미있게 잘 보았습니다 ,10
디어 에반 핸슨,"멋진 음악, 벤 플랫까지 만날 수 있어 좋았습니다. 뮤지컬로도 만나보고 싶네요. ",10
디어 에반 핸슨,재밌음재밌음재밌음잼 ,10
샹치와 텐 링즈의 전설,CG와 양 조위의 전설 ,6
악인은 너무 많다,영화같지 않은 영화가 너무 많다. ,1
악인은 너무 많다 2: 제주 실종사건의 전말,영화같지 않은 영화가 너무 많다2 : 83분 실종사건의 전말 ,1
디 아워스,"아무도 이해하지 못하는 내 우울을 이해받은거같아, 위로가 되었다 ",10
듄,잘까? 좀더버텨볼까? 갈등하게 한 영화 ,4
싱크홀,너무 내용이 뻔해서.... ,6
듄,모래괴물의 웅장함이 느껴지고 싸우는 장면에선 보호막 덕분에 더욱 치열해서 멋있었다. 티모시의 꿈이 미래가 돼서 스포일러가 될수있는데 많은 장면이 이번화에서 나오지않고 많은 사람이 죽어 이런 스토리를 앞으로 어떻게 풀어갈지 궁금하다. ,10
암살,우리잊으면안돼ㅠㅠ다시봐도 눈물ㅠㅠ ,10
걸캅스,미래에서 왔읍니다 응 현실은 보다닥이죠^^ ,1
보이스,보이스2를노린것같지만 ㅎ 여튼 배우.연출 저는만족^^ 영화관에서봤으면 더잼잇겟다싶고 깨알조연배우님들도 너무좋았어요~~더 나왓으면 더좋았겠다싶을정도ㅎㅎ잘봤습니다~~ ,10
목포는 항구다,너무 웃겨요 킬링타임으로 최고에요 가볍게 막 웃김요 ㅎ ,10
이터널스,기대보다 너무 별로였다 ,4
당신의 부탁,피를 나누지  않았지만  소중한 가족이되어가는 모습이 좋았다. 요즘 시대에꼭 필요한 영화~ ,10
걸캅스,판타지  개노잼  시간낭비 ,1
샹치와 텐 링즈의 전설,"재미도 없고, 감동도 없고.. 걍 화려한 특수효과에 돈은 많이들었겠다..싶음 ",4
새콤달콤,새콤달콤한 영화. 연말에 가볍게 보기 좋아용 ,10
귀멸의 칼날: 남매의 연,제국주의를 상징하는 니뽄영화귀떼기에 그려진거 한국에서는 지우고 개봉전형적인 일본눔의 자세앞에서는 웃지만 뒷짐진 손에 칼을든 형태이런걸 극장가서 봐주는 애들은 뭐냐니뽄으로 건너가라 가서 걍 살어 ,1
댄싱퀸,이게 미스터리 스릴러 반전 영화도 아니고 드라마 장르의 영화가 전개가 뻔하고 결말이 예상되는 게 평점을 낮게 줄 만한 이유인가?ㅋㅋ ,10
이터널스,지루하고 그냥그런 영화 ,4
듄,기다리다! 기다리다! 드디어 아이맥스로 봤습니다. 이미 많은 리뷰나 예고영상을 보고 갔는데도 기대이상이였습니다. 예고편이 다하는 그런 영화가 아닙니다. 그리고 그 음향...계속 귓가에 울립니다.한 번 더 봐야겠습니다. 아! 이상한 나라의 폴! ,9
걸캅스,걸캅스는 개뿔 그냥  강간이나 당해라 ,1
이터널스,난재미있게봤음. 그런데 갑자기 태양으로 왜가... ,8
비스티 보이즈,윤계상의 리얼한 오바이트연기 ,6
세 얼간이,생각 머리도 없도 그냥 해야하니까 어쩔 수 없이 대충 해내며 살던 시절 20살 중반에 이영화 처음 보고 인생 처음으로 진취적으로 살고싶어졌다 머리에 뭐 맞은것처럼 띵 했는데 서른이 넘은 지금은 이영화를 안 봤으면 내 인생이 어떻게 됐을까 생각이든다 그정도로 내 인생을 바꿔준 영화.. ,10
벤허,영화사에 기록될 가장 웅장한 서사극.감동지수가현대극 글래디에이터를능가한다 ,10
듄,개노잼. 지루하다. 지루하다.지루하다. ,1
다운폴,승자에 의해 과장되거나 왜곡되지 않은 진짜 그들의 마지막 모습. ,10
걸캅스,최악 ,1
비스티 보이즈,찐 현실 밤문화.. 개봉했을때 영화관가서 보고 충격적이기도 했지만 재밌게봤던 영화ㅋㅋ넷플에 떳길래 반가워서 봤는데 다시봐도 재밌고 예전에는 밤문화가 저런가?하면서 봤는데 지금은 현실을 알기때문에 공감하며 봤다 씁쓸 ,10
싱크홀,코메디 싱크홀 그냥 보기는 잼있슴당~ 그냥 생각하지 마시고 보새여 ㅋㅋㅋ ,9
싱크홀,진짜 재밌었다 억지스러움도 있었지만! 차승원 너무젛아 ㅠㅠㅠ ,10
이터널스,차라리 우뢰매를 다시보는게 낫겠다.세상의 모든것은 중국이랑 살짝만 스치거나 관련있어도 싸구려 쓰레기가 된다. ,2
뉴 폴리스 스토리,전작들과 다르게 개그가 빠진 폴리스 스토리는 낯설다. 오언조의 악역 캐릭터가 인상적 ,6
고양이에게 밥을 주지 마세요,세상 모든 캣맘 캣대디 님들 응원합니다!영화 많은분들이 보셨으면 좋겠네요^^ ,10
베놈 2: 렛 데어 비 카니지,마블영화 기대치가 높았던 걸까요? 블랙위도우를 시작으로 샹치 베놈2까지 졸작 느낌 ,3
이터널스,초등학생 아들이 마블을 좋아하는데 보는 내내 울 아들 영화네~ 했다~ 배놈2보다 훨 낫다~ ㅋㅋㅋ ,10
싱크홀,생각없이우연히봤다가 너무3류영화같아서 감독누군지검색해봤다 ,6
싱크홀,7광구 감독인줄 미리알았더라면.. 킬링타임도 안되는 르레기 ,1
장르만 로맨스,영화를 다보고나면 먹고싶은게 많아짐ㅋ치킨...짜장면..라면..아이스크림..등등ㅋㅋㅋ재미있게 잘 봤습니다~ ,10
강릉,"평점 갑자기 변할때 눈치 깠어야 하는데.. 알바들인지 나만 당하기 싫다인지 작작들 좀 하세요. 중2병 명언잔치와 허세가득, 그리고 시종일관 칼싸움.. 이걸 어떻게든 살리려 애쓰는 유오성이 진심 대단하고 불쌍하기까지 했음. 킬링타임하는 시간도 아까운 영화. ",1
장르만 로맨스,간만에영화관출입  연기력좋다고입소문에 덩달아관람좔조는편인데 모처럼졸지않고봄 ,8
디어 에반 핸슨,스토리의 이해가 중간중간 끊기는 부분이 있었지만 연기를 너무 잘해서 감정선으로 쭉 끌어준 것 같아요ㅠ 묵직한 위로를 주는 OST는 말 할것도 없이 너무 좋고!!!! 감성적인 뮤지컬영화를 찾으신다면 추천드립니다!! 아!! 그리고 원작 뮤지컬을 알고계신 분이라면 진짜 당연히 봐야되는 작품이에요ㅠㅡㅠ 언능 뮤지컬 디어 에반 핸슨도 만나볼 수 있길 바래요♥? ,10
호빗 : 뜻밖의 여정,잼있게 잘 봤어요 ,10
걸캅스,여경은 필요가없다.. ,1
베놈,잘 봤어용. ,8
테넷,이해되지도 이해하고 싶지도 않다 ,3
더 테러 라이브,잘 봤어용. ,8
연가시,잘 봤어용. ,7
걸캅스,이딴게 평점 9점? ㅋㅋ ,1
겁나는 여친의 완벽한 비밀,이런 황당무계함이 코미디지 ,7
이터널스,재미도 없고와 잠깐이라니 개빡침 마블영화에게이라니 성소수자 홍보를 ....스토리는 마블세계관 공부용인듯 ,1
5 to 7,오랜만에 뭔가 뜨거운 눈물이 나는.. ,8
듄,"영상, 음향, 연출까지 모두좋지만 스토리는 어쩔? 내용이 뭐야?  아짜증나! ",6
싱크홀,"7광구 ... 아 .,진짜 ",1
조 블랙의 사랑,미친 ㅋㅋㅋ 진짜 항마력 높아서 세기말 로맨스 정말 즐거보는데 이건 엔딩이 뽀뽀뽀 텔레토비만도 못하다… 나원참 ㅋㅋㅋ 그냥 배우 얼굴 구경용 영환데 알바들 댓글 쓰면서 죄 짓는 기분 안드냐 솔직히 이 정도면 범죄야 새기들아… ,6
분홍신,선재와 인태의 로맨스가 엄청 느끼하고 어색한 거 제외하고는 괜찮았다. 죄책감+망상=파국. ,6
12번째 솔저,하얀 순록이 귀여웠음. ,8
프렌치 디스패치,프랑스에 대해 조금 이해도가 있으면 더 재미있게 볼 수 있겠네요. 특히 두번째 이야기는요 ,7
후크,"내 인생 영화관의 첫 영화. 꿈꾸는 아이에게 어른이 되는 법을 알려준...내 인생에 평생의 팬은 오로지 당신, 로빈 윌리엄스 뿐. 당신의 영원한 팬이 팬에게. ",10
듄,아름답고 경이로운 영화. 파트 2가 기대되는. ,10
싱크홀,킬링타임용으로 재밌게봤어요 ,10
해바라기,10번은 본거 같은데 볼때마다 재밌다 인생명작 ,10
로맨틱 홀리데이,"넘 따뜻하고 사랑스러운 영화 ㅠㅠ 매년 겨울마다  찾아볼 거 같네요 특히 아만다가 그레엄 집에서 애기들이랑 시간 보내는 씬 너무 좋아요 ㅠㅠ 넷 다 너무 사랑스러움 ,, :) ",10
디어 에반 핸슨,영화를 보다가 깨달았다감독도 이 감정선이 미국 10대들에게 질병처럼 유행하는 억지 위로와 공감으로 점철된것을 알았던 것이다중간에 영상을 퍼나르며 나오는 유튜버들의 단적인 모습은 이 장면이 감동을 위한건지 아니면사실은 이 영화 전체가 비판과 교묘한 조롱인것인지 헷갈리게 한다주인공은 나약하고 답답하며 등장인물들의 정신승리와 정당화는 역겨울 정도다등장인물들은 그 누구도 사랑스럽지 않으며 공감할 수 없고 이 어딘가 모르게 불편한 플롯은 감동이 아닌 불쾌함만을 보는 내내 선사한다이 영화는 좋은 음악으로 포장한 스릴러다  거의 겟아웃을 볼때의 소름이었다브금만 바꿔도 매 장면이 공포스러울 것이다이 영화를 볼 계획인 모든 이들에게 심심한 위로를 건낸다 ,2
오피스,재밌음 레알 싹다 괜찮게 연출이며 스토리며 싹다싹다 연기자들의 연기가 압권임 ,8
폭력의 그림자,배경은무미건조하지만 그속에서.아들의사랑의  진심이느껴지는 .. ,8
디어 에반 핸슨,벤 플랫의 고집에는 이유가 있었구나 ,7
이터널스,최악의 영화 말도 안되는 인류애 구원자 세계관쓰레기같은영화전혀 히어로뭉 아니고12세인데 잦은 키스신과 베드씬까지…. 2편 나와도 안봄 ,2
돼지 같은 여자,젊은분들께 비추천....45세..이상..강추..복합적..감동....내재된.... ,10
에반 올마이티,중간까지는 평이한데 마지막이 진국이다. ,10
디어 에반 핸슨,"알리나?? 왜케 나대냐.. 전형적으로 타인을 위하는 척하면서 본인의 도덕심, 만족감을 채우는데 이용하는 사람. 감성적이고 깨어있는 나, 소외된 것에 관심주고 사람들 관심을 주도하는 나에 빠져있는데 본인만 그걸 모르는 느낌 ",5
사랑은 비가 갠 뒤처럼,"일본판 나의아저씨랄까?  근데 어두운 분위기가 아닌, 밝으면서도 잔잔한 느낌이다. 역시 일본의 멜로영화는 특유의 감성이 있다.이건 사랑이야기라기 보다는,  성장 이야기이다.  부상으로 인해 꿈을 잠시 놓치고 있는 여고생과,  현실에 마주쳐 꿈을 잃어버린 중년아저씨가  서로를 통해 꿈을 향해 성장해가는 이야기이다. ",9
소리도 없이,어린 여자애의 영악함이 싫고 끔찍하다 ,8
원 데이,"저런 사랑 해보고 싶네요.. 죽는 것만 빼고요,, ",10
승리호,재밌어요 송중기는 어떤 역할을 해도 잘생겼네요 ,10
미스 스티븐스,"우리 모두는 내 아픔을 들어주고, 위로해줄 누군가가 필요하다. 그 사실을 인정해야 아픔을 딛고 나아갈 수 있는데, 그 사실을 외면하는 레이첼에게 빌리는 계속 말해주고 싶어했다. 당신은 지금 슬프다고, 그치만 내가 들어줄거라고. 내게 그 아픔에 대해 솔직해져도 된다고. 슬픔을 인정하는 것, 슬픔을 누군가에게 털어놓는다는 게 이렇게 어려운건 일인지 몰랐다. 나에게 계속해서 말을 걸었던 수많은 빌리들을, 나는 바보처럼 외면했다. ",10
분홍신,허허 이걸 10점을 준사람들이 많네 그냥 뭐랄까 무슨내용인지 궁금해서 계속 건너띄어가며 줄거리를 확인하기는 했습니다만 그다지 재미있지는 않습니다. 확실한건 소재는 독특해서 높은점수를 주고싶지만 스토리에 빈약함이 너무 강력하네요 ,4
너에게 가는 길,"성소수자 자녀를 둔 부모의 이야기임과 동시에 두 가족의 이야기, 두 여성의 성장 및 고군분투 이야기이기도 하다. 두 주인공의 이야기에서 우리 사회의 소외받고 외롭고 겉돌고 차별받고 지워지는 (여성일 수도, 성소수자일수도, 다양한 형태의 가족 구성원일수도, 이방인일수도 있는) 사람들의 단편을 엿볼수 있음과 동시에 그것들과 마주하는 주인공들의 행보에서 따뜻한 여운을 느낄 수 있는 영화다. ",10
랑종,잘나가다 후반부 어색한감이... ,6
이터널스,역시 마블 그리고 감독의 영향인지 모르겠지만 뭔가 더 우아하고 선이 고왔다는 생각이 듬 굿굿굿 ,10
장르만 로맨스,잔잔하게.. 볼만은 합니다. ,8
마녀,최근 본 영화 중에 최고후속편 기다립니다 ,10
태양은 움직이지 않는다,쓰읍.. 마지막에 그 도망간 친구... 데이비드킴 고용했다 도망간 절친이.. 멀리서 타카노를 지켜보는 식으로 나올려나 했는데 끝내 안나옴 그래서 평점 2점이고 도망간 애 하나 못찾는 AN통신이 주가 된다는게 이해불가 ,2
샹치와 텐 링즈의 전설,주인공이 너무 못생겨서 몰입이 안되요 ,5
이터널스,"연기랑 영상미는 좋았으나,나치즘에 영향받은 그걸 미화시키네..ㅋㅋㅋ 감독이 나치빠인가 ㅋㅋㅋㅋ 현실과 영화를 구분시켜놓지않은 망작이해 해볼려해도 안가는 스토리에 정신을 놓았다.역겹다. 마블이라 기대했건만. ",1
수색자,"군대라는 폐쇄적인 집단에서 집단의 이익과 안녕을 위해 진실은 묻혀지게된다.진실과 집단의 안정 중에서 선택해야하는 딜레마에 빠지게된다.과거에도 이러한 명분으로 억울하게 죽은 젋고 어린 청년들이 얼마나 많았을지...영화를 보는내내 천안함사건이 자꾸 떠오르는지... 극중 대사중 ""죽은 군인들을 개죽음으로 만들거야! 북한의 교전으로 사망한 유공자로 만들어주는게 그들에게도 더 현실적으로 나은거야! 유가족들도 원할테고!""내 자녀가 군대에가서 어이없는 사고로 죽었는대 국방부에서 명예를 세워주고 유공자로 대접해 준다고 더이상 사실을 밝히는대 노력하지 말라고 한다면...나는 무엇을 선택할것인가?그대들은 어떤 선택을할것인가?오랜만에 진실을 향한 마음의 양심과 현실의 이익과 집단의 안정를 위해서 스스로 고뇌하게 만들어준 가슴아프지만 현실적인영화였습니다감사합니다 ",10
드래곤 길들이기 3,인생애니메이션영화시즌 모두 만족스럽다 ,10
레드 노티스,전형적인 헐리우드식 킬링타임용 영화 넷플이 돈이 많으니 이런것도 막 찍는구나 ,7
네 마음에 새겨진 이름,이번에 발매된 소설을 읽고 다시보니 이전에 볼땐 안보이던 감정선들이 다시보이네요. 몇번을 반복해서 보고있는지 모르겠네요 정말 명작이라고 생각합니다. ,10
레드 노티스,아무 생각없이 보면서 시간 때우기엔 재밌음. ,7
시월애,좋은 영화이긴 한데 지루하다... ,5
카오스 워킹,재밌는데 기승전결이 없음… 다음편이 있으니까 그러겠죠…? ,8
장르만 로맨스,"잼민이들한테는 노잼이나, 인생 경험이 있는 어른들은 재밌는 작푿 ",8
소울,눈물나는 감동적인 영화. 우리도 다들 목적만 가지고 사는게 일생이 되어버린게 아닐지.. 작은거 사소한거 일상적인거 하나로도행복하고 따뜻해질수 잇음을 다시한번 깨닫고 갑니다 ,10
괴짜들의 로맨스,내가  사랑하는 사람이 나와 같아서 좋아했는데나와 달라진다면 ,10
모가디슈,깔끔하고 지루하지 않게 잘 만들었다 근데.. 태준기 살려내..ㅠㅠ꼭 준기 죽였어야먄 했냐..ㅜㅜ ,8
007 노 타임 투 다이,007 노타임노다이의 부제 : 노잼 ,1
어웨이크,기대 안했는데 생각보다 재미있네 그리고 알바 엄청 이쁨ㅇㅇ ,9
환상의 빛,"삶과 죽음은 연결되어 있고, 살아가며 위로하고 위로받는다. 바닷가 마을에서는 좀 더 편안하기를. 고레에다 히로카즈의 독보적인 첫 영화. ",9
퍼스트 카우,담백한 우유 같은 영화. 잔잔한 서부극도 매력 있다 ,8
해바라기,말이 필요 없는 영화... ,10
나를 잡아줘,그냥 노넨레나 볼 수 있는거  만으로도 ,9
장르만 로맨스,드라마적인 감성이 좋았고 코미디 빵 터지긴 하는데 타율이 높지 않았다 ,7
프렌치 디스패치,첨보다 두번볼때 더 좋아지는 영화 ,8
호빗 : 뜻밖의 여정,다시보는 호빗도 여전히 즐겁다 ,10
12 솔져스,재밌었습니다. 몰입감이 좋은 영화였어요. ,9
아메리칸 스나이퍼,이게 왜.. 34만밖에 안될까..너무 재밌게 봤습니다. ,9
"힘을 내요, 미스터 리","대구 지하철 참사를 다시한번 떠올리며 묵념하게 만드네요.. 재미있는 요소도 많고, 가볍지만 감동적인 영화였습니다! ",9
모가디슈,재미있어요허준호씨 진짜 북한사람같음 ,10
강릉,초중반 매우 흥미로움... 하지만 결말이 아쉬움... 진짜 마무만 잘했으면 완벽했을텐데 아쉬움이 남는영화.. 지루하거나 그런부분은 없었네요 ,7
이터널스,"재밌는디,,?? 평점왜이랭 ㅠ ",10
싱크홀,김성균..목소리톤 너무 어색해...바둑 거기서도그랬는데...나만느끼는건가?... ,2
망령의 웨딩드레스,영화의 마지막 부분은 지금도 감히 따라할수 아니..시도조차 못할 겁니다. ,1
굿 윌 헌팅,진짜 최고예요.. ,10
서유기 : 모험의 시작,"월광보합,선리기연의 dna를 잇는 진정한 월,선,연작의 기원 ",10
이터널 선샤인,"영화보는 동안 도대체 이게 무슨 상황인지 이해가 가지않아 영화 속 조엘처럼 나도 똑같이 혼란스러움을 겪었다. 이런 스토리를 짜는 것도 너무 신기한데, 생각한것을 실제로 영상에 담아내는 것도 너무너무 신기하고 대단하다.근데 나만 그런건지..ㅜ 영화의 흐름을 깨는 것 같아서 차마 얘기하기는 싫었는데 너무 신경쓰여서 한번 적어본다. 조엘과 클레멘타인의 사랑이야기 너무나도 애틋하고, 둘이 같이 있을때 너무나도 편하고 행복해보여 진짜진짜 부러운데, 다만 걸리는거 한가지가 .. 조엘은 그러면 결국 나오미랑 사귀고 있었을때 클레멘타인을 만나 연애하게된건지... 한마디로 이것도 바람이니.. 너무 신경쓰였다. 영화니까 그러려니 넘어갈 수 있긴한데 내 사전에 바람은 진짜 전혀 이해도 안가고 이해하기도 싫어서... 이 점 때문에 원래라면 감명깊고 결말이 행복해서 눈물 한방울 또르르했을 수도 있는데 눈물이 전혀 안나왔다.. 물론 다시 재회하게 되는 결말이 너무나도 뭉클하긴했긴했지만.. 미국이라 마인드자체가 다른건가..그리고 메리가 박사 사랑한다면서 조엘 기억빼내고 있을때 헐크랑 그런것도 약간 이해가..ㅋㄱㅋㄱ 그냥 마인드 차이인가 싶네.. 뭐 저는 이 영화보면서 이런 생각도해봤어요.. 저랑 같은 생각하신분 있는지 궁금하네요.. ",10
선희와 슬기,선희도 너고 슬기도 너다. 그러나 너는 없다. ,8
레드 노티스,오글거리고 수준떨어지는 액션영화긴한데 옛날 헐리우드 액션영화감성 느끼기엔 충분했다. 어릴때보던 인디아나존스가 떠오르네. 그치만 갤가돗 존예! 그래도 나름 반전 ㅋㅋㅋㅋ그냥 킬링타임용이라 생각하긴했다만 시간이 좀 아깝네. ,6
뷰티 인사이드,뷰티 인사이드... 인사이드.!!!사람의 겉 모습이 아닌 그 사람자체을 좋아한다는게 얼마나 힘들고 또 얼마나 가슴벅차게  아름다울수 있는지를 보여준... ,10
퀸카가 아니어도 좋아,자존감을 얻어가는 여자주인공의 모습이 너무 좋았음 ,10
듄,"장면 장면이 예술성 있고 굉장한 이야기를 말하지만, 지루한 면도 없지 않아서 극장에서 볼게 아니면 아예 보지 말기를. ",9
실: 인연의 시작,"막 시작하던 이들이 앉아있던 테이블에서, 시간이 조금씩 지나면서 각자 생채기가 난게 보여서 더 뭉클했던 영화. 꽉 닫힌 엔딩이라 백프로 만족함 ",9
듄,그래서 뭘 어쨌다는거야..호흡기 안좋은분들은 보시지 마시길. ,6
싱크홀,아니 나만 재밌었나?? 진짜 편의점 야간 알바 하면서 계속 웃으면서 봤는데 아 물론 말도 안되는 이야기인건 아는데  주인공 다 죽으면 그것도 재미가 없지 오히려 현실적보단 영화 같아서 더 재밌었는데 ,10
신신방: 나타중생,나타가 누군지 모르면 50%도 이해안됨 중국연화나 애니메이션  CG는 세계수준 까 올라갔지만 비주얼은 원래 10분이상 가기어렵다 ㆍ나타가 누군지부터 알고 ,6
캔디맨,"무작정 호러도 아니고, 그렇다고 오컬트적인 뭔가가 있는 것도 아니고.. 잘 모르겠네요 ",5
보이스,시나리오 디테일이라곤 하나도 없다 과잉오바액션질이나 하고있고 조직원들은 무슨 스피드웨건 빙의되가지고 술술 설명해주고 멍청한건가?착한건가? 웃겨서 어이가 없다 ,1
싱크홀,"요즘 아무렇게나 만들어도 K드라마, K영화인데 이건 좀 너~~~무~~ 아무렇게나 대충 만들었구만... ",4
싱크홀,차승원 진흙탕에 빠졌을 때 아들이 뛰어 들면서 잡물로 폭망 ,2
장르만 로맨스,코미디 영화라기 보단 블랙코미디에 가까운 캐릭터 전체가 너무 좋았다. 사랑이란 가슴아픈 성장통 조은지 감독영화는 좋구나 ,8
007 노 타임 투 다이,007 시리즈가 이렇게 일본색 넘치는 영화였나요?!명작 시리즈가 이렇게 망가지는 것이 너무나 슬픕니다 ㅠㅠ ,1
건축학개론,아무 것도 몰랐던 그 시절을 떠올릴 수 있어 좋았음 ,10
장르만 로맨스,웃음바이러스 영화네요~^^ ,10
